Course ID,Course Name,Judul Modul/Tutorial
60,Memulai Pemrograman Dengan Java,Pengantar Control Flow
60,Memulai Pemrograman Dengan Java,Percabangan
60,Memulai Pemrograman Dengan Java,Perulangan
60,Memulai Pemrograman Dengan Java,Pengantar Collection Type
60,Memulai Pemrograman Dengan Java,List
60,Memulai Pemrograman Dengan Java,Set
60,Memulai Pemrograman Dengan Java,Map
60,Memulai Pemrograman Dengan Java,Pengantar Object-Oriented Programming
60,Memulai Pemrograman Dengan Java,Class
60,Memulai Pemrograman Dengan Java,Object
60,Memulai Pemrograman Dengan Java,Function
60,Memulai Pemrograman Dengan Java,Properti dan Metode
60,Memulai Pemrograman Dengan Java,Access Modifier
60,Memulai Pemrograman Dengan Java,Interface
60,Memulai Pemrograman Dengan Java,Implement
60,Memulai Pemrograman Dengan Java,Inheritance
60,Memulai Pemrograman Dengan Java,Pengantar Common Class
60,Memulai Pemrograman Dengan Java,Generics
60,Memulai Pemrograman Dengan Java,Exception
60,Memulai Pemrograman Dengan Java,Input Stream dan Output Stream
60,Memulai Pemrograman Dengan Java,Datetime
60,Memulai Pemrograman Dengan Java,Casting
60,Memulai Pemrograman Dengan Java,Studi Kasus : Implementasi Pernyataan If
60,Memulai Pemrograman Dengan Java,"Studi Kasus : Implementasi Perulangan For, Pernyataan If, dan Function dalam OOP"
60,Memulai Pemrograman Dengan Java,"Studi Kasus : Implementasi Pernyataan Switch, Operator Aritmatika, dan OOP"
60,Memulai Pemrograman Dengan Java,Ujian Akhir
80,Memulai Pemrograman dengan Kotlin,Latihan Ujian
80,Memulai Pemrograman dengan Kotlin,Pengenalan Kotlin
80,Memulai Pemrograman dengan Kotlin,Kotlin Sebagai Bahasa Multiparadigm
80,Memulai Pemrograman dengan Kotlin,Kotlin Sebagai Bahasa Multiplatform
80,Memulai Pemrograman dengan Kotlin,Kotlin untuk Aplikasi Server-side
80,Memulai Pemrograman dengan Kotlin,Kotlin untuk Aplikasi Android
80,Memulai Pemrograman dengan Kotlin,Kotlin Sebagai Investasi
80,Memulai Pemrograman dengan Kotlin,Kotlin Sebagai Bahasa Concise dan Pragmatic
80,Memulai Pemrograman dengan Kotlin,"Kotlin Sebagai Bahasa Safe, Statically typed, dan Open Source"
80,Memulai Pemrograman dengan Kotlin,Ekosistem Kotlin
80,Memulai Pemrograman dengan Kotlin,Rangkuman dari Pendahuluan
80,Memulai Pemrograman dengan Kotlin,Kuis Pendahuluan
80,Memulai Pemrograman dengan Kotlin,Membangun dan Menjalankan Program Kotlin
80,Memulai Pemrograman dengan Kotlin,Instalasi OpenJDK (Linux dan macOS)
80,Memulai Pemrograman dengan Kotlin,Instalasi OpenJDK (Windows)
80,Memulai Pemrograman dengan Kotlin,Instalasi Gradle (Linux dan macOS)
80,Memulai Pemrograman dengan Kotlin,Instalasi Gradle (Windows)
80,Memulai Pemrograman dengan Kotlin,Instalasi IntelliJ IDEA
80,Memulai Pemrograman dengan Kotlin,Program Pertama Kotlin
80,Memulai Pemrograman dengan Kotlin,Membuat Program dengan IntelliJ IDEA
80,Memulai Pemrograman dengan Kotlin,Rangkuman dari Persiapan Membangun dan Menjalankan Program Kotlin
80,Memulai Pemrograman dengan Kotlin,Kuis Persiapan Membangun dan Menjalankan Program Kotlin
80,Memulai Pemrograman dengan Kotlin,Kotlin Fundamental
80,Memulai Pemrograman dengan Kotlin,Data Types & Variable
80,Memulai Pemrograman dengan Kotlin,Char
80,Memulai Pemrograman dengan Kotlin,String
80,Memulai Pemrograman dengan Kotlin,String Template
80,Memulai Pemrograman dengan Kotlin,If Expressions
80,Memulai Pemrograman dengan Kotlin,Boolean
80,Memulai Pemrograman dengan Kotlin,Numbers
80,Memulai Pemrograman dengan Kotlin,Arrays
80,Memulai Pemrograman dengan Kotlin,Nullable Types
80,Memulai Pemrograman dengan Kotlin,Safe Calls dan Elvis Operator
80,Memulai Pemrograman dengan Kotlin,Functions
80,Memulai Pemrograman dengan Kotlin,Anatomi Function
80,Memulai Pemrograman dengan Kotlin,Named dan Default Argument
80,Memulai Pemrograman dengan Kotlin,Vararg (Variable Argument)
80,Memulai Pemrograman dengan Kotlin,Rangkuman dari Kotlin Fundamental
80,Memulai Pemrograman dengan Kotlin,Kuis Kotlin Fundamental
80,Memulai Pemrograman dengan Kotlin,Komponen Control Flow
80,Memulai Pemrograman dengan Kotlin,Expressions dan Statements
80,Memulai Pemrograman dengan Kotlin,When Expressions
80,Memulai Pemrograman dengan Kotlin,While dan Do While
80,Memulai Pemrograman dengan Kotlin,Range
80,Memulai Pemrograman dengan Kotlin,For Loop
80,Memulai Pemrograman dengan Kotlin,Break dan Continue
80,Memulai Pemrograman dengan Kotlin,Rangkuman dari Control Flow
80,Memulai Pemrograman dengan Kotlin,Kuis Control Flow
80,Memulai Pemrograman dengan Kotlin,Konsep Object-Oriented Programming
80,Memulai Pemrograman dengan Kotlin,Object Everywhere
80,Memulai Pemrograman dengan Kotlin,Class
80,Memulai Pemrograman dengan Kotlin,Membuat Class
80,Memulai Pemrograman dengan Kotlin,Properties
80,Memulai Pemrograman dengan Kotlin,Lateinit & Lazy Property
80,Memulai Pemrograman dengan Kotlin,Property Delegation
80,Memulai Pemrograman dengan Kotlin,Primary Constructor
80,Memulai Pemrograman dengan Kotlin,Secondary Constructor
80,Memulai Pemrograman dengan Kotlin,Visibility Modifiers
80,Memulai Pemrograman dengan Kotlin,Overloading
80,Memulai Pemrograman dengan Kotlin,Inheritances
80,Memulai Pemrograman dengan Kotlin,Abstract Class
80,Memulai Pemrograman dengan Kotlin,Interfaces
80,Memulai Pemrograman dengan Kotlin,Extensions
80,Memulai Pemrograman dengan Kotlin,Nullable Receiver
80,Memulai Pemrograman dengan Kotlin,Import dan Packages
80,Memulai Pemrograman dengan Kotlin,Membuat Package Baru
80,Memulai Pemrograman dengan Kotlin,Exception
80,Memulai Pemrograman dengan Kotlin,Exception Handling
80,Memulai Pemrograman dengan Kotlin,Rangkuman Kotlin Object-Oriented Programming
80,Memulai Pemrograman dengan Kotlin,Kuis Kotlin Object-Oriented Programming
80,Memulai Pemrograman dengan Kotlin,Special Class dan Collection
80,Memulai Pemrograman dengan Kotlin,Data Class
80,Memulai Pemrograman dengan Kotlin,Penggunaan Data Class
80,Memulai Pemrograman dengan Kotlin,Menyalin dan Memodifikasi Data Class
80,Memulai Pemrograman dengan Kotlin,Destructuring Declarations
80,Memulai Pemrograman dengan Kotlin,Nested Classs & Inner Class
80,Memulai Pemrograman dengan Kotlin,Enum Class
80,Memulai Pemrograman dengan Kotlin,Sealed Class
80,Memulai Pemrograman dengan Kotlin,"Singleton Object, Companion Object, & Anonymous Class"
80,Memulai Pemrograman dengan Kotlin,List
80,Memulai Pemrograman dengan Kotlin,Set
80,Memulai Pemrograman dengan Kotlin,Map
80,Memulai Pemrograman dengan Kotlin,Collections Operations
80,Memulai Pemrograman dengan Kotlin,"Fold, Drop, dan Take"
